B00, 0
B01, 0
B02, 0
B03, 1
S05, Blotteritem, {'type': 'Trade', 'time': 221.7460317460028, 'price': 81, 'party1': 'B13', 'party2': 'S05', 'qty': 1}
S05, Blotteritem, {'type': 'Trade', 'time': 250.0634920634567, 'price': 81, 'party1': 'B10', 'party2': 'S05', 'qty': 1}
S06, 10
S06, Blotteritem, {'type': 'Trade', 'time': 18.68253968253962, 'price': 64, 'party1': 'B03', 'party2': 'S06', 'qty': 1}
S06, Blotteritem, {'type': 'Trade', 'time': 34.47619047619091, 'price': 75.02900000000014, 'party1': 'B05', 'party2': 'S06', 'qty': 1}
S06, Blotteritem, {'type': 'Trade', 'time': 87.96825396825545, 'price': 80, 'party1': 'B08', 'party2': 'S06', 'qty': 1}
S06, Blotteritem, {'type': 'Trade', 'time': 110.0317460317425, 'price': 81.001, 'party1': 'B14', 'party2': 'S06', 'qty': 1}
S06, Blotteritem, {'type': 'Trade', 'time': 150.44444444443172, 'price': 77, 'party1': 'B12', 'party2': 'S06', 'qty': 1}
S06, Blotteritem, {'type': 'Trade', 'time': 167.65079365077702, 'price': 76, 'party1': 'B08', 'party2': 'S06', 'qty': 1}
S06, Blotteritem, {'type': 'Trade', 'time': 183.63492063490037, 'price': 76, 'party1': 'B13', 'party2': 'S06', 'qty': 1}
S06, Blotteritem, {'type': 'Trade', 'time': 233.2539682539367, 'price': 81.0, 'party1': 'B05', 'party2': 'S06', 'qty': 1}
S06, Blotteritem, {'type': 'Trade', 'time': 254.92063492059845, 'price': 82, 'party1': 'B08', 'party2': 'S06', 'qty': 1}
S06, Blotteritem, {'type': 'Trade', 'time': 286.4444444444008, 'price': 81, 'party1': 'B10', 'party2': 'S06', 'qty': 1}
S07, 3
S07, Blotteritem, {'type': 'Trade', 'time': 130.15873015872205, 'price': 80, 'party1': 'B13', 'party2': 'S07', 'qty': 1}
S07, Blotteritem, {'type': 'Trade', 'time': 140.47619047618002, 'price': 79.00900000000004, 'party1': 'B05', 'party2': 'S07', 'qty': 1}
S07, Blotteritem, {'type': 'Trade', 'time': 213.11111111108414, 'price': 80.001, 'party1': 'B05', 'party2': 'S07', 'qty': 1}
S08, 3
S08, Blotteritem, {'type': 'Trade', 'time': 17.269841269841212, 'price': 98, 'party1': 'B08', 'party2': 'S08', 'qty': 1}
S08, Blotteritem, {'type': 'Trade', 'time': 115.41269841269366, 'price': 81.0, 'party1': 'B05', 'party2': 'S08', 'qty': 1}
S08, Blotteritem, {'type': 'Trade', 'time': 243.984126984093, 'price': 80.00300000000001, 'party1': 'B14', 'party2': 'S08', 'qty': 1}
S09, 7
S09, Blotteritem, {'type': 'Trade', 'time': 28.92063492063482, 'price': 75.97699999999989, 'party1': 'S09', 'party2': 'B12', 'qty': 1}
S09, Blotteritem, {'type': 'Trade', 'time': 59.57142857143453, 'price': 82.99499999999998, 'party1': 'S09', 'party2': 'B15', 'qty': 1}
S09, Blotteritem, {'type': 'Trade', 'time': 90.28571428571524, 'price': 80.98399999999992, 'party1': 'S09', 'party2': 'B07', 'qty': 1}
S09, Blotteritem, {'type': 'Trade', 'time': 121.04761904761301, 'price': 81.98299999999992, 'party1': 'S09', 'party2': 'B09', 'qty': 1}
S09, Blotteritem, {'type': 'Trade', 'time': 155.61904761903372, 'price': 78.98399999999992, 'party1': 'S09', 'party2': 'B07', 'qty': 1}
S09, Blotteritem, {'type': 'Trade', 'time': 183.52380952378928, 'price': 77.98799999999994, 'party1': 'S09', 'party2': 'B09', 'qty': 1}
S09, Blotteritem, {'type': 'Trade', 'time': 240.3650793650462, 'price': 81.96399999999983, 'party1': 'S09', 'party2': 'B15', 'qty': 1}
S10, 1
S10, Blotteritem, {'type': 'Trade', 'time': 103.6825396825376, 'price': 81, 'party1': 'B13', 'party2': 'S10', 'qty': 1}
S11, 4
S11, Blotteritem, {'type': 'Trade', 'time': 54.55555555556041, 'price': 81.001, 'party1': 'B14', 'party2': 'S11', 'qty': 1}
S11, Blotteritem, {'type': 'Trade', 'time': 96.55555555555509, 'price': 80.00200000000001, 'party1': 'B14', 'party2': 'S11', 'qty': 1}
